state,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Illinois,94.16666412353516,104.88333129882812,113.91666412353516,121.33333587646484,127.9000015258789,134.71665954589844,136.1666717529297,138.0,144.1999969482422,158.96665954589844,203.0,170.0,201.0
Missouri,72.83333587646484,82.43333435058594,79.5999984741211,84.05000305175781,90.26667022705078,97.26667022705078,101.25,104.68333435058594,112.0,126.26667022705078,103.0,109.0,146.0
Indiana,55.10416793823242,60.85416793823242,68.20833587646484,69.52083587646484,67.75,74.10416412353516,82.85416412353516,88.4375,96.28571319580078,115.95918273925781,57.0,51.0,114.0
Maryland,129.43333435058594,127.06666564941406,129.85000610351562,131.1666717529297,136.0,141.35000610351562,143.9499969482422,159.0833282470703,153.63333129882812,173.61666870117188,206.0,199.0,193.0
Utah,93.26667022705078,105.5,112.41666412353516,118.55000305175781,128.78334045410156,141.4166717529297,157.61666870117188,173.73333740234375,191.3333282470703,245.85000610351562,226.0,286.0,305.0
Kansas,73.67796325683594,81.11864471435547,84.48332977294922,87.73332977294922,93.66666412353516,101.3499984741211,111.01667022705078,115.93333435058594,124.3499984741211,138.5,127.0,156.0,162.0
Colorado,116.23332977294922,130.60000610351562,145.56666564941406,165.3000030517578,173.1666717529297,181.68333435058594,180.71665954589844,186.39999389648438,202.3333282470703,233.63333129882812,306.0,365.0,340.0
Texas,88.11666870117188,97.16666412353516,104.28333282470703,111.19999694824219,118.75,159.98333740234375,133.18333435058594,137.25,145.5833282470703,171.9499969482422,233.0,205.0,267.0
Pennsylvania,100.71666717529297,104.0999984741211,109.4000015258789,110.23332977294922,115.41666412353516,120.5,128.18333435058594,133.18333435058594,145.53334045410156,160.03334045410156,136.0,163.0,131.0
Massachusetts,188.46665954589844,204.6999969482422,215.0833282470703,225.63333129882812,240.1999969482422,256.26666259765625,273.3500061035156,281.8833312988281,301.5333251953125,334.8833312988281,347.0,364.0,370.0
Tennessee,57.11320877075195,62.77358627319336,93.30508422851562,95.16666412353516,111.4000015258789,622.1666870117188,128.14999389648438,180.61666870117188,146.98333740234375,173.86666870117188,180.0,170.0,185.0
Michigan,55.1875,67.85416412353516,65.45833587646484,72.3125,79.86274719238281,89.81999969482422,97.35294342041016,103.04000091552734,112.71154022216797,122.89286041259766,138.0,145.0,155.0
Virginia,155.81666564941406,171.10000610351562,173.98333740234375,160.21665954589844,161.06666564941406,167.0500030517578,172.3333282470703,176.18333435058594,188.35000610351562,209.01666259765625,161.0,233.0,261.0
Louisiana,96.69491577148438,101.78333282470703,109.01667022705078,112.28333282470703,118.86666870117188,123.13333129882812,128.39999389648438,133.10000610351562,140.81666564941406,152.68333435058594,158.0,165.0,160.0
Kentucky,74.51667022705078,76.05000305175781,79.26667022705078,82.06666564941406,84.55000305175781,89.06666564941406,95.33333587646484,104.4000015258789,107.41666412353516,123.38333129882812,114.0,136.0,121.0
